Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Guo et al Cell	10.1016/j.cell.2015.05.015	Fan Guo, Liying Yan, Hongshan Guo, Lin Li, Boqiang Hu, Yangyu Zhao, Jun Yong, Yuqiong Hu, Xiaoye Wang, Yuan Wei, Wei Wang, Rong Li, Jie Yan, Xu Zhi, Yan Zhang, Hongyan Jin, Wenxin Zhang, Yu Hou, Ping Zhu, Jingyun Li, Ling Zhang, Sirui Liu, Yixin Ren, Xiaohui Zhu, Lu Wen, Yi Qin Gao, Fuchou Tang, Jie Qiao	Cell	The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells	20150604.0	-	364	Human		Tang	GSE63818		RNA-seq	PGCs										
Schlitzer et al NImmunology	10.1038/ni.3200	Andreas Schlitzer, V Sivakamasundari, Jinmiao Chen, Hermi Rizal Bin Sumatoh, Jaring Schreuder, Josephine Lum, Benoit Malleret, Sanqian Zhang, Anis Larbi, Francesca Zolezzi, Laurent Renia, Michael Poidinger, Shalin Naik, Evan W Newell, Paul Robson, Florent Ginhoux	Nat Immunol	Identification of cDC1- and cDC2-committed DC progenitors reveals early lineage priming at the common DC progenitor stage in the bone marrow	20150609.0	-	251	Mouse		SMARTer (C1)	GSE60781		RNA-seq	DCs										
Kim et al GBiology	10.1186/s13059-015-0692-3	Kyu-Tae Kim, Hye Won Lee, Hae-Ock Lee, Sang Cheol Kim, Yun Jee Seo, Woosung Chung, Hye Hyeon Eum, Do-Hyun Nam, Junhyong Kim, Kyeung Min Joo, Woong-Yang Park	Genome Biol	Single-cell mRNA sequencing identifies subclonal heterogeneity in anti-cancer drug responses of lung adenocarcinoma cells	20150618.0	-	208	Human		SMARTer (C1)	GSE69405		RNA-seq											
Dueck et al GB	10.1186/s13059-015-0683-4	Hannah Dueck, Mugdha Khaladkar, Tae Kim, Jennifer Spaethling, Chantal Francis, Sangita Suresh, Stephen Fisher, Patrick Seale, Sheryl Beck, Tamas Bartfai, Bernhard Kuhn, James Eberwine, Junhyong Kim	Genome Biol	Deep sequencing reveals cell-type-specific patterns of single-cell transcriptome variation	20150618.0	-	139	Rat, Mouse		aRNA amplificiation	GSE56638		RNA-seq											
Bose et al GB	10.1186/s13059-015-0684-3	Sayantan Bose, Zhenmao Wan, Ambrose Carr, Abbas Rizvi, Gregory Vieira, Dana Pe’er, Peter Sims	Genome Biol	Scalable microfluidics for single-cell RNA printing and sequencing	20150618.0	-	400	Human			GSE66357		RNA-seq											Picowell deposition
Rothwell et al BMCGenomics	10.1186/1471-2164-15-1129	Dominic G Rothwell, Yaoyong Li, Mahmood Ayub, Catriona Tate, Gillian Newton, Yvonne Hey, Louise Carter, Suzanne Faulkner, Massimo Moro, Stuart Pepper, Crispin Miller, Fiona Blackhall, Giulia Bertolini, Luca Roz, Caroline Dive, Ged Brady	BMC Genomics	Evaluation and validation of a robust single cell RNA-amplification protocol through transcriptional profiling of enriched lung cancer initiating cells	20150618.0	-	10	Human	Culture	Rothwell	GSE52716		RNA-seq	Epithelial cell line			2.0	Yes						
Du et al Thorax	10.1136/thoraxjnl-2015-207035	Yina Du, Minzhe Guo, Jeffrey A Whitsett, Yan Xu	Thorax	‘LungGENS’: a web-based tool for mapping single-cell gene expression in the developing lung: Figure 1	20150701.0	-	148	Mouse			GSE69761		RNA-seq											
Scialdone et al Methods	10.1016/j.ymeth.2015.06.021	Antonio Scialdone, Kedar N. Natarajan, Luis R. Saraiva, Valentina Proserpio, Sarah A. Teichmann, Oliver Stegle, John C. Marioni, Florian Buettner	Methods	Computational assignment of cell-cycle stage from single-cell transcriptome data	20150704.0	-	96	Mouse		SMARTer (C1)	E-MTAB-3707		RNA-seq											
Fan et al GBiology	10.1186/s13059-015-0706-1	Xiaoying Fan, Xiannian Zhang, Xinglong Wu, Hongshan Guo, Yuqiong Hu, Fuchou Tang, Yanyi Huang	Genome Biol	Single-cell RNA-seq transcriptome analysis of linear and circular RNAs in mouse preimplantation embryos	20150722.0	-	118	Mouse		SUPeR-seq	GSE53386		RNA-seq											
Llorens-Bobadilla et al CSC	10.1016/j.stem.2015.07.002	Enric Llorens-Bobadilla, Sheng Zhao, Avni Baser, Gonzalo Saiz-Castro, Klara Zwadlo, Ana Martin-Villalba	Cell Stem Cell	Single-Cell Transcriptomics Reveals a Population of Dormant Neural Stem Cells that Become Activated upon Brain Injury	20150730.0	-	272	Mouse		Smart-seq2	GSE67833		RNA-seq											
Meredith et al NImmunology	10.1038/ni.3247	Matthew Meredith, David Zemmour, Diane Mathis, Christophe Benoist	Nat Immunol	Aire controls gene expression in the thymic epithelium with ordered stochasticity	20150803.0	-	200	Mouse		CEL-seq	GSE70798		RNA-seq											
Brennecke et al NImmunology	10.1038/ni.3246	Philip Brennecke, Alejandro Reyes, Sheena Pinto, Kristin Rattay, Michelle Nguyen, Rita Küchler, Wolfgang Huber, Bruno Kyewski, Lars M Steinmetz	Nat Immunol	Single-cell transcriptome analysis reveals coordinated ectopic gene-expression patterns in medullary thymic epithelial cells	20150803.0	-	293	Human, Mouse		Smart-seq2	E-MTAB-3346		RNA-seq	mTECs				No	No	No		No		
Grun et al Nature	10.1038/nature14966	Dominic Grün, Anna Lyubimova, Lennart Kester, Kay Wiebrands, Onur Basak, Nobuo Sasaki, Hans Clevers, Alexander van Oudenaarden	Nature	Single-cell messenger RNA sequencing reveals rare intestinal cell types	20150818.0	-	238	Mouse	Organoid	CEL-seq	GSE62270		RNA-seq	Intestinal organoids			15.0	Yes	No	No	No	Yes		
Shin et al CSC	10.1016/j.stem.2015.07.013	Jaehoon Shin, Daniel A. Berg, Yunhua Zhu, Joseph Y. Shin, Juan Song, Michael A. Bonaguidi, Grigori Enikolopov, David W. Nauen, Kimberly M. Christian, Guo-li Ming, Hongjun Song	Cell Stem Cell	Single-Cell RNA-Seq with Waterfall Reveals Molecular Cascades underlying Adult Neurogenesis	20150820.0	-	173	Mouse		SMARTer	GSE71485		RNA-seq											
Leng et al NMethods	10.1038/nmeth.3549	Ning Leng, Li-Fang Chu, Chris Barry, Yuan Li, Jeea Choi, Xiaomao Li, Peng Jiang, Ron M Stewart, James A Thomson, Christina Kendziorski	Nat Methods	Oscope identifies oscillatory genes in unsynchronized single-cell RNA-seq experiments	20150824.0	-	460	Human		SMARTer (C1)	GSE64016		RNA-seq											
Tsang et al GBiology	10.1186/s13059-015-0739-5	Jason C. H. Tsang, Yong Yu, Shannon Burke, Florian Buettner, Cui Wang, Aleksandra A. Kolodziejczyk, Sarah A. Teichmann, Liming Lu, Pentao Liu	Genome Biol	Single-cell transcriptomic reconstruction reveals cell cycle and multi-lineage differentiation defects in Bcl11a-deficient hematopoietic stem cells	20150827.0	-	288	Mouse		SMARTer (C1)	ERP010829		RNA-seq	HSCs										
Avraham et al Cell	10.1016/j.cell.2015.08.027	Roi Avraham, Nathan Haseley, Douglas Brown, Cristina Penaranda, Humberto B. Jijon, John J. Trombetta, Rahul Satija, Alex K. Shalek, Ramnik J. Xavier, Aviv Regev, Deborah T. Hung	Cell	Pathogen Cell-to-Cell Variability Drives Heterogeneity in Host Immune Responses	20150904.0	-	288	Mouse		SMARTer	GSE65528		RNA-seq											
Kind et al Cell	10.1016/j.cell.2015.08.040	Jop Kind, Ludo Pagie, Sandra S. de Vries, Leila Nahidiazar, Siddharth S. Dey, Magda Bienko, Ye Zhan, Bryan Lajoie, Carolyn A. de Graaf, Mario Amendola, Geoffrey Fudenberg, Maxim Imakaev, Leonid A. Mirny, Kees Jalink, Job Dekker, Alexander van Oudenaarden, Bas van Steensel	Cell	Genome-wide Maps of Nuclear Lamina Interactions in Single Human Cells	20150912.0	-	96	Human		CEL-seq	GSE68596		RNA-seq											
Miyamoto et al Science	10.1126/science.aab0917	D. T. Miyamoto, Y. Zheng, B. S. Wittner, R. J. Lee, H. Zhu, K. T. Broderick, R. Desai, D. B. Fox, B. W. Brannigan, J. Trautwein, K. S. Arora, N. Desai, D. M. Dahl, L. V. Sequist, M. R. Smith, R. Kapur, C.-L. Wu, T. Shioda, S. Ramaswamy, D. T. Ting, M. Toner, S. Maheswaran, D. A. Haber	Science	RNA-Seq of single prostate CTCs implicates noncanonical Wnt signaling in antiandrogen resistance	20150918.0	-	157	Human			GSE67980		RNA-seq											
Pollen et al Cell	10.1016/j.cell.2015.09.004	Alex A. Pollen, Tomasz J. Nowakowski, Jiadong Chen, Hanna Retallack, Carmen Sandoval-Espinosa, Cory R. Nicholas, Joe Shuga, Siyuan John Liu, Michael C. Oldham, Aaron Diaz, Daniel A. Lim, Anne A. Leyrat, Jay A. West, Arnold R. Kriegstein	Cell	Molecular Identity of Human Outer Radial Glia during Cortical Development	20150924.0		393	Human	Brain	SMARTer (C1)	phs000989.v1.p1		RNA-seq	Ventricular zone and outer subventricular zone		Gestational weeks 16-18								
Kolodziejczyk et al CSC	10.1016/j.stem.2015.09.011	Aleksandra A. Kolodziejczyk, Jong Kyoung Kim, Jason C.H. Tsang, Tomislav Ilicic, Johan Henriksson, Kedar N. Natarajan, Alex C. Tuck, Xuefei Gao, Marc Bühler, Pentao Liu, John C. Marioni, Sarah A. Teichmann	Cell Stem Cell	Single Cell RNA-Sequencing of Pluripotent States Unlocks Modular Transcriptional Variation	20151001.0	-	869	Mouse	Culture	SMARTer (C1)	E-MTAB-2600		RNA-seq	mESCs			4.0		No	No	Yes	No		
Kowalczyk et al GResearch	10.1101/gr.192237.115	Monika S. Kowalczyk, Itay Tirosh, Dirk Heckl, Tata Nageswara Rao, Atray Dixit, Brian J. Haas, Rebekka K. Schneider, Amy J. Wagers, Benjamin L. Ebert, Aviv Regev	Genome Res.	Single-cell RNA-seq reveals changes in cell cycle and differentiation programs upon aging of hematopoietic stem cells	20151002.0	-	2,089	Mouse		SMARTer	GSE59114		RNA-seq											
Chen et al DCell	10.1016/j.devcel.2015.09.009	Shuang Chen, Eric W. Brunskill, S. Steven Potter, Phillip J. Dexheimer, Nathan Salomonis, Bruce J. Aronow, Christian I. Hong, Tongli Zhang, Raphael Kopan	Developmental Cell	Intrinsic Age-Dependent Changes and Cell-Cell Contacts Regulate Nephron Progenitor Lifespan	20151013.0	-	91	Mouse		SMARTer (C1)	GSE66202		RNA-seq											
Burns et al NComms	10.1038/ncomms9557	Joseph C. Burns, Michael C. Kelly, Michael Hoa, Robert J. Morell, Matthew W. Kelley	Nat Commun	Single-cell RNA-Seq resolves cellular complexity in sensory organs from the neonatal inner ear	20151015.0	-	301	Mouse		SMARTer (C1)	GSE71982		RNA-seq											
Shen et al NComms	10.1038/ncomms9372	Weijun Shen, Brandon Taylor, Qihui Jin, Van Nguyen-Tran, Shelly Meeusen, You-Qing Zhang, Anwesh Kamireddy, Austin Swafford, Andrew F. Powers, John Walker, John Lamb, Badry Bursalaya, Michael DiDonato, George Harb, Minhua Qiu, Christophe M. Filippi, Lisa Deaton, Carolina N. Turk, Wilma L. Suarez-Pinzon, Yahu Liu, Xueshi Hao, Tingting Mo, Shanshan Yan, Jing Li, Ann E. Herman, Bernhard J. Hering, Tom Wu, H. Martin Seidel, Peter McNamara, Richard Glynne, Bryan Laffitte	Nat Commun	Inhibition of DYRK1A and GSK3B induces human β-cell proliferation	20151026.0	-	170	Rat		SMARTer (C1)	GSE68625		RNA-seq											
Wu et al Gigascience	10.1186/s13742-015-0091-4	Liang Wu, Xiaolong Zhang, Zhikun Zhao, Ling Wang, Bo Li, Guibo Li, Michael Dean, Qichao Yu, Yanhui Wang, Xinxin Lin, Weijian Rao, Zhanlong Mei, Yang Li, Runze Jiang, Huan Yang, Fuqiang Li, Guoyun Xie, Liqin Xu, Kui Wu, Jie Zhang, Jianghao Chen, Ting Wang, Karsten Kristiansen, Xiuqing Zhang, Yingrui Li, Huanming Yang, Jian Wang, Yong Hou, Xun Xu	GigaSci	Full-length single-cell RNA-seq applied to a viral human cancer: applications to HPV expression and splicing analysis in HeLa S3 cells	20151105.0	-	37	Human	Culture	MIRALCS			RNA-seq	HeLa										Sorting
Hanchate et al Science	10.1126/science.aad2456	N. K. Hanchate, K. Kondoh, Z. Lu, D. Kuang, X. Ye, X. Qiu, L. Pachter, C. Trapnell, L. B. Buck	Science	Single-cell transcriptomics reveals receptor transformations during olfactory neurogenesis	20151106.0	-	93	Mouse			GSE75413		RNA-seq											
Wang et al Cell	10.1016/j.cell.2015.10.068	Chao Wang, Nir Yosef, Jellert Gaublomme, Chuan Wu, Youjin Lee, Clary B. Clish, Jim Kaminski, Sheng Xiao, Gerd Meyer Zu Horste, Mathias Pawlak, Yasuhiro Kishi, Nicole Joller, Katarzyna Karwacz, Chen Zhu, Maria Ordovas-Montanes, Asaf Madi, Ivo Wortman, Toru Miyazaki, Raymond A. Sobel, Hongkun Park, Aviv Regev, Vijay K. Kuchroo	Cell	CD5L/AIM Regulates Lipid Biosynthesis and Restrains Th17 Cell Pathogenicity	20151119.0	-	806	Mouse		SMARTer (C1)			RNA-seq											
Gaublomme et al Cell	10.1016/j.cell.2015.11.009	Jellert T. Gaublomme, Nir Yosef, Youjin Lee, Rona S. Gertner, Li V. Yang, Chuan Wu, Pier Paolo Pandolfi, Tak Mak, Rahul Satija, Alex K. Shalek, Vijay K. Kuchroo, Hongkun Park, Aviv Regev	Cell	Single-Cell Genomics Unveils Critical Regulators of Th17 Cell Pathogenicity	20151119.0	-	722	Mouse		SMARTer (C1)	GSE74833		RNA-seq											
Paul et al Cell	10.1016/j.cell.2015.11.013	Franziska Paul, Ya’ara Arkin, Amir Giladi, Diego Adhemar Jaitin, Ephraim Kenigsberg, Hadas Keren-Shaul, Deborah Winter, David Lara-Astiaso, Meital Gury, Assaf Weiner, Eyal David, Nadav Cohen, Felicia Kathrine Bratt Lauridsen, Simon Haas, Andreas Schlitzer, Alexander Mildner, Florent Ginhoux, Steffen Jung, Andreas Trumpp, Bo Torben Porse, Amos Tanay, Ido Amit	Cell	Transcriptional Heterogeneity and Lineage Commitment in Myeloid Progenitors	20151125.0	-	10,260	Mouse	Bone marrow	MARS-Seq	GSE72857		RNA-seq	Bone marrow			19.0	Yes	No	No	No	No		Sorting (FACS)
Wurtzel et al DCell	10.1016/j.devcel.2015.11.004	Omri Wurtzel, Lauren E. Cote, Amber Poirier, Rahul Satija, Aviv Regev, Peter W. Reddien	Developmental Cell	A Generic and Cell-Type-Specific Wound Response Precedes Regeneration in Planarians	20151207.0	-	619	Planarian		Smart-seq2	PRJNA276084		RNA-seq				13.0							
Camp et al PNAS	10.1073/pnas.1520760112	J. Gray Camp, Farhath Badsha, Marta Florio, Sabina Kanton, Tobias Gerber, Michaela Wilsch-Bräuninger, Eric Lewitus, Alex Sykes, Wulf Hevers, Madeline Lancaster, Juergen A. Knoblich, Robert Lachmann, Svante Pääbo, Wieland B. Huttner, Barbara Treutlein	Proc Natl Acad Sci USA	Human cerebral organoids recapitulate gene expression programs of fetal neocortex development	20151209.0	-	734	Human	Organoid	SMARTer (C1)	GSE75140		RNA-seq	Cerebral organoid										
Fuzik et al NBT	10.1038/nbt.3443	János Fuzik, Amit Zeisel, Zoltán Máté, Daniela Calvigioni, Yuchio Yanagawa, Gábor Szabó, Sten Linnarsson, Tibor Harkany	Nat Biotechnol	Integration of electrophysiological recordings with single-cell RNA-seq data identifies neuronal subtypes	20151221.0		83	Mouse	Brain	Patch-seq	GSE70844		RNA-seq	Somatosensory cortex neurons										
Li et al CReasearch	10.1038/cr.2015.149	Chang-Lin Li, Kai-Cheng Li, Dan Wu, Yan Chen, Hao Luo, Jing-Rong Zhao, Sa-Shuang Wang, Ming-Ming Sun, Ying-Jin Lu, Yan-Qing Zhong, Xu-Ye Hu, Rui Hou, Bei-Bei Zhou, Lan Bao, Hua-Sheng Xiao, Xu Zhang	Cell Res	Somatosensory neuron types identified by high-coverage single-cell RNA-sequencing and functional heterogeneity	20151222.0	-	197	Mouse		SMARTer	GSE63576		RNA-seq											
Tasic et al NNeuroscience	10.1038/nn.4216	Bosiljka Tasic, Vilas Menon, Thuc Nghi Nguyen, Tae Kyung Kim, Tim Jarsky, Zizhen Yao, Boaz Levi, Lucas T Gray, Staci A Sorensen, Tim Dolbeare, Darren Bertagnolli, Jeff Goldy, Nadiya Shapovalova, Sheana Parry, Changkyu Lee, Kimberly Smith, Amy Bernard, Linda Madisen, Susan M Sunkin, Michael Hawrylycz, Christof Koch, Hongkui Zeng	Nat Neurosci	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	20160104.0	-	1,679	Mouse	Brain	SMARTer	GSE71585		RNA-seq	Primary visual cortex			49.0	Yes	No	No	Yes	No		Sorting (FACS)
Kimmerling et al NComms	10.1038/ncomms10220	Robert J. Kimmerling, Gregory Lee Szeto, Jennifer W. Li, Alex S. Genshaft, Samuel W. Kazer, Kristofor R. Payer, Jacob de Riba Borrajo, Paul C. Blainey, Darrell J. Irvine, Alex K. Shalek, Scott R. Manalis	Nat Commun	A microfluidic platform enabling single-cell RNA-seq of multigenerational lineages	20160106.0	-	194	Mouse		Smart-seq2	GSE74923		RNA-seq											
Angermueller et al NMethods	10.1038/nmeth.3728	Christof Angermueller, Stephen J Clark, Heather J Lee, Iain C Macaulay, Mabel J Teng, Tim Xiaoming Hu, Felix Krueger, Sébastien A Smallwood, Chris P Ponting, Thierry Voet, Gavin Kelsey, Oliver Stegle, Wolf Reik	Nat Methods	Parallel single-cell sequencing links transcriptional and epigenetic heterogeneity	20160111.0	-	96	Mouse		scM&T-seq	GSE74534		RNA-seq											
Guo et al CReports	10.1016/j.celrep.2015.12.089	Guoji Guo, Luca Pinello, Xiaoping Han, Shujing Lai, Li Shen, Ta-Wei Lin, Keyong Zou, Guo-Cheng Yuan, Stuart H. Orkin	Cell Reports	Serum-Based Culture Conditions Provoke Gene Expression Variability in Mouse Embryonic Stem Cells as Revealed by Single-Cell Analysis	20160121.0	-	96	Mouse			GSE75804		RNA-seq											
Macaulay et al CReports	10.1016/j.celrep.2015.12.082	Iain C. Macaulay, Valentine Svensson, Charlotte Labalette, Lauren Ferreira, Fiona Hamey, Thierry Voet, Sarah A. Teichmann, Ana Cvejic	Cell Reports	Single-Cell RNA-Sequencing Reveals a Continuous Spectrum of Differentiation in Hematopoietic Cells	20160121.0	-	652	Zebrafish	Kidney, Heart	Smart-seq2	E-MTAB-3947		RNA-seq	cd41 cells from kidney and heart			6.0	Yes	Yes	No	No	Yes		
Eltahla et al ICB	10.1038/icb.2016.16	Auda A Eltahla, Simone Rizzetto, Mehdi R Pirozyan, Brigid D Betz-Stablein, Vanessa Venturi, Katherine Kedzierska, Andrew R Lloyd, Rowena A Bull, Fabio Luciani	Immunol Cell Biol	Linking the T cell receptor to the single cell transcriptome in antigen-specific human T cells	20160210.0	-	63	Human	Blood	Smart-seq2			RNA-seq	CD8 T cells from PBMC										
Bjorklund et al NImmunology	10.1038/ni.3368	Åsa K Björklund, Marianne Forkel, Simone Picelli, Viktoria Konya, Jakob Theorell, Danielle Friberg, Rickard Sandberg, Jenny Mjösberg	Nat Immunol	The heterogeneity of human CD127+ innate lymphoid cells revealed by single-cell RNA sequencing	20160215.0	-	648	Human		Smart-seq2	GSE70580		RNA-seq											
Hou et al CResearch	10.1038/cr.2016.23	Yu Hou, Huahu Guo, Chen Cao, Xianlong Li, Boqiang Hu, Ping Zhu, Xinglong Wu, Lu Wen, Fuchou Tang, Yanyi Huang, Jirun Peng	Cell Res	Single-cell triple omics sequencing reveals genetic, epigenetic, and transcriptomic heterogeneity in hepatocellular carcinomas	20160223.0	-	95	Human, Mouse		scTrio-seq	GSE65364		RNA-seq											
Stubbington et al NMethods	10.1038/nmeth.3800	Michael J T Stubbington, Tapio Lönnberg, Valentina Proserpio, Simon Clare, Anneliese O Speak, Gordon Dougan, Sarah A Teichmann	Nat Methods	T cell fate and clonality inference from single-cell transcriptomes	20160307.0	-	272	Mouse		SMARTer (C1)	E-MTAB-3857		RNA-seq	Th1 cells				No	No	No	Yes	No		
Peng et al DCell	10.1016/j.devcel.2016.02.020	Guangdun Peng, Shengbao Suo, Jun Chen, Weiyang Chen, Chang Liu, Fang Yu, Ran Wang, Shirui Chen, Na Sun, Guizhong Cui, Lu Song, Patrick P.L. Tam, Jing-Dong J. Han, Naihe Jing	Developmental Cell	Spatial Transcriptome for the Molecular Annotation of Lineage Fates and Cell Identity in Mid-gastrula Mouse Embryo	20160323.0	-	70	Mouse		Smart-seq2	GSE65924		RNA-seq											
Grover et al NComms	10.1038/ncomms11075	Amit Grover, Alejandra Sanjuan-Pla, Supat Thongjuea, Joana Carrelha, Alice Giustacchini, Adriana Gambardella, Iain Macaulay, Elena Mancini, Tiago C. Luis, Adam Mead, Sten Eirik W. Jacobsen, Claus Nerlov	Nat Commun	Single-cell RNA sequencing reveals molecular and functional platelet bias of aged haematopoietic stem cells	20160324.0	-	135	Mouse		SMARTer (C1)	GSE70657		RNA-seq											
Goolam et al Cell	10.1016/j.cell.2016.01.047	Mubeen Goolam, Antonio Scialdone, Sarah J.L. Graham, Iain C. Macaulay, Agnieszka Jedrusik, Anna Hupalowska, Thierry Voet, John C. Marioni, Magdalena Zernicka-Goetz	Cell	Heterogeneity in Oct4 and Sox2 Targets Biases Cell Fate in 4-Cell Mouse Embryos	20160324.0	-	124	Mouse		Smart-seq2	E-MTAB-3321		RNA-seq											
Meyer et al CDiscovery	10.1158/2159-8290.CD-16-0008	S. E. Meyer, T. Qin, D. E. Muench, K. Masuda, M. Venkatasubramanian, E. Orr, L. Suarez, S. D. Gore, R. Delwel, E. Paietta, M. S. Tallman, H. Fernandez, A. Melnick, M. M. Le Beau, S. Kogan, N. Salomonis, M. E. Figueroa, H. L. Grimes	Cancer Discovery	DNMT3A Haploinsufficiency Transforms FLT3ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	20160326.0	-	96	Mouse		SMARTer (C1)	GSE77847		RNA-seq											
Tirosh et al Science	10.1126/science.aad0501	I. Tirosh, B. Izar, S. M. Prakadan, M. H. Wadsworth, D. Treacy, J. J. Trombetta, A. Rotem, C. Rodman, C. Lian, G. Murphy, M. Fallahi-Sichani, K. Dutton-Regester, J.-R. Lin, O. Cohen, P. Shah, D. Lu, A. S. Genshaft, T. K. Hughes, C. G. K. Ziegler, S. W. Kazer, A. Gaillard, K. E. Kolb, A.-C. Villani, C. M. Johannessen, A. Y. Andreev, E. M. Van Allen, M. Bertagnolli, P. K. Sorger, R. J. Sullivan, K. T. Flaherty, D. T. Frederick, J. Jane-Valbuena, C. H. Yoon, O. Rozenblatt-Rosen, A. K. Shalek, A. Regev, L. A. Garraway	Science	Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq	20160407.0	-	4,645	Human		Smart-seq2	GSE72056		RNA-seq	Melanoma			19.0	Yes	No	No	Yes	Yes		Sorting (FACS)
Petropoulos et al Cell	10.1016/j.cell.2016.03.023	Sophie Petropoulos, Daniel Edsgärd, Björn Reinius, Qiaolin Deng, Sarita Pauliina Panula, Simone Codeluppi, Alvaro Plaza Reyes, Sten Linnarsson, Rickard Sandberg, Fredrik Lanner	Cell	Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos	20160409.0	-	1,529	Human	Embryo	Smart-seq2	E-MTAB-3929		RNA-seq	Preimplantation embryos					Yes	No	Yes	Yes		
